,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
Poitou-Saintonge,5.999572708011929e-06,0.008730382217514106,0.010271550550282138,0.03389520972727264,0.0010874733495606838,0.0096574514726178,6.19853221916358e-05,1.3187188781599834e-06,0.00562102832204007,0.057322859612320365,0.014358682611321128,0.05418367593341207
Provence,0.0013996032213307184,0.00347494371367842,0.003220008850124039,0.007354202364234355,0.0021112323311047337,0.0011858294408530437,0.0017364222418309457,1.5042201030854194e-05,0.010343557591757748,0.014835599206197682,0.00019127787394165652,0.01635870831539532
Rhone-Alpes,0.0027858668292606555,0.013081336572125674,0.005078971807094073,0.0032650211674122437,0.006130026911827032,0.0014536051658607812,0.0014407014917218735,0.00012924373724571662,0.007033533982039349,0.003002343065869407,0.0003489474357344879,0.004936576985547147
Germany,0.004332969559958843,0.00918884116486059,0.0015444623054616682,0.0035875239096855097,0.0037700636216560926,2.7244804808390614e-05,0.0015548184376394487,0.0005434352741314719,0.002999198680678732,0.00041189371981159003,0.0016479616998991025,0.004369103761560855
North Germany,0.010690622340663944,0.014829753969576464,0.00950341237259121,0.02571277409316462,0.007112736171922029,0.0010357080380501464,0.003694259960444043,6.956430467159478e-05,0.002056472638522541,0.04140878142718694,0.006131364026246902,0.001289265243391853
East Germany,0.007546142891808566,0.004977048250628433,0.002525115336485477,0.0097119720857848,0.005087280672221828,5.997496458663995e-05,0.009545980592723182,0.0004196632675521952,0.003054652650014099,0.001029257554023849,0.0016152408106647731,0.000880423387764176
West Germany,0.0024058282038107687,0.017879200143577356,0.0009199670918893886,0.0078091528227189734,0.006794691408380416,0.00047380418941231806,0.00024039529337162925,0.0036978126878171457,0.014641304955498069,0.031073748982622634,0.006008902680768316,0.0014578290806158585
South Germany,1.1227884199811465e-05,0.007060046757554278,0.00022557178137618192,3.6521370695892275e-05,0.001069104632362627,0.0029277798536415153,1.2395176549418755e-05,0.001768158950106282,0.010339238083883609,0.0067561015718981526,0.0018916751920946455,0.020553558163125017
Greece,0.025669871676657508,0.002873970719329352,0.005986201608860642,0.00404908355777265,5.6545648349560175e-06,0.0077815190352635635,0.0005735413341209728,0.003970375517488446,0.0022526378390574325,0.00044602816958204915,0.00874113135919209,0.005818181201722586
North Greece,0.010642977727471524,0.007788460286476412,0.0005954865061195509,0.004884555184796588,0.00018040278922145362,0.005698304184109953,0.0010579010776051406,0.008149665120819582,0.008672349046492814,8.47298619862667e-07,0.004135551043039395,0.005885263583172692
Central Greece,0.02763937792622899,0.0010196347720064446,0.007599765520570204,0.016063170892275075,0.001284147628606042,0.027412692457847724,0.0023426587126571734,0.0047253258809023795,0.0004152510477872173,0.04240430124874705,0.01070825367234288,0.0035736201404426736
South Greece,0.016265827983784918,0.00452694931828665,3.8246362279597695e-08,0.0011456263729167893,5.5677185753439644e-05,0.051271423565704854,0.006941668043818297,0.020157578916446928,0.0017494779464951344,0.0008590105370142873,0.00550417222562888,0.0025283395931803626
Crete,0.044669286552135125,0.0014652288322982642,0.02615637441635747,0.002270613442175582,0.0009412082196855143,0.0037611790258484227,0.002154852208654483,0.007348827167100901,0.008369154285804302,0.004312035455773835,0.11564274790575374,0.030213035628249854
Aegean Islands,0.032511112881407025,0.00010606551611368377,0.018148233899502226,0.0044266602368598935,0.00031669180138882,0.008050311549010473,0.0030006192922717267,0.03445850700459847,3.610030643724207e-05,0.006957514993826057,0.0003615513407834787,0.008860148533120255
Hungary,0.0005575126222572401,0.0041483586916328564,0.00013491862545804518,0.0037331754123554844,0.0018835792529009775,0.012587492275627353,0.003062404892815616,0.030920636699075812,0.0040550742448351084,0.00010596776328443904,0.008982383807921929,0.00802655495945121
Iceland,0.026768332207726456,0.007353100329895613,0.0034484449306148818,0.008293197314909085,0.0026162277990772103,0.0008276995915983567,5.7319351211367864e-06,0.004195477114980307,0.027396083641221543,0.011997662593789432,0.0010769229530344286,0.0003706833170120998
Ireland,0.008001970060963759,0.02858029122682262,0.008251746523735457,0.004463636008186815,0.0014471709092896776,1.779375148858837e-06,0.0010260095687083615,0.0008812421775531243,0.001019142233268436,0.040393869370464436,0.009511737368135008,2.6590389380937736e-06
Italy,0.011898488999842681,0.0028765313148702613,0.002804294275088921,1.0789268368108241e-05,0.0001332785094838855,0.0007243229706547725,0.00021909133524822906,0.0007620862196095593,0.0060281583340532205,8.841135049033214e-05,0.0005123794212002833,0.004357508073766389
